empty_count,longitude,latitude
4,50.45400344250972,30.522086243042246
34,50.45245314488731,30.52056952656168
1,50.45446424027062,30.521781917797565
32,50.45076480919191,30.52357642197167
26,50.45218506231004,30.520407377859772
10,50.45362843530125,30.524295572613145
42,50.452896233261775,30.52273548360798
47,50.45281204932716,30.524969304601257
16,50.454029954505515,30.521891146793497
16,50.45097743699086,30.52248529032495
26,50.45117905850051,30.522962879797213
42,50.451080112314415,30.523601548948715
16,50.45232455156238,30.524438965809633
44,50.451801615222294,30.524954848008914
11,50.450092226069536,30.524199441905417
25,50.454642524128865,30.52124065803131
39,50.45434868644429,30.523958971692508
11,50.45169390423818,30.52072107765151
24,50.452195519982205,30.52372840058101
2,50.453657463566294,30.52242404120181
36,50.45273712779229,30.523819233987087
26,50.45426406437189,30.524718456011016
45,50.45117788277368,30.52373395057381
28,50.45027661750094,30.523627907419012
49,50.453778994958576,30.520031748754896
39,50.451500312861015,30.520618413559347
10,50.45009489991791,30.524080257037234
37,50.450005862668334,30.523212101433092
34,50.450506273438606,30.52248962957351
25,50.450619841327324,30.520378392308768
35,50.45243360447038,30.520099580374737
44,50.454122870765715,30.520033006949852
4,50.454839947159456,30.52268682868577
19,50.45319359408554,30.52453288767483
5,50.45149329641261,30.52366686631992
41,50.45240263835494,30.523172172792464
5,50.45103352326936,30.520909237771573
41,50.452330017488755,30.524450899403174
20,50.45212183185707,30.521332988611928
41,50.45111816277911,30.523783554982803
42,50.45216965379314,30.524859112199493
23,50.45184302770246,30.521124116485208
24,50.45265261682313,30.52175044614951
43,50.452443882000374,30.5240906041413
34,50.45117384298999,30.521517626604634
11,50.45166775583912,30.52258263216166
14,50.452382169353875,30.520693618061706
24,50.45383358438036,30.522373213171083
39,50.45052100759453,30.523741099070715
27,50.45212105058084,30.520874002463568
0,50.452144395558605,30.522298869337426
12,50.45028739337274,30.52443997734214
23,50.45123970121306,30.52472537424053
20,50.450907399383986,30.524476417947174
47,50.45139386991912,30.521256940975196
11,50.454131562029865,30.524652058047113
24,50.4548028042952,30.520182778024488
8,50.45434127277373,30.52361580019991
25,50.45395590810651,30.52409951663606
28,50.45175712199874,30.520891431713867
25,50.454985097746594,30.524524571394846
32,50.45064213210752,30.52477869405638
20,50.454004311020114,30.522384448212268
25,50.453167391627986,30.5248042212724
